LETSHEGO_KETU,LETSHEGO_KETU,212.100.86.157,LETSHEGO
LETSHEGO_AJEGUNLE,LETSHEGO_AJEGUNLE,41.138.164.141,LETSHEGO
LETSHEGO_ORILE,LETSHEGO_ORILE,41.138.172.89,LETSHEGO
LETSHEGO_OSHODI,LETSHEGO_OSHODI,212.100.86.181,LETSHEGO
LETSHEGO_CENTAGE_bs,LETSHEGO_CENTAGE_bs,10.4.7.42,LETSHEGO
LETSHEGO_CENTAGE_cl,LETSHEGO_CENTAGE_cl,10.4.7.43,LETSHEGO
LETSHGO_ALABA_BS,LETSHGO_ALABA_BS,10.52.0.210,LETSHEGO
LETSHGO_ALABA_CL,LETSHGO_ALABA_CL,10.52.0.211,LETSHEGO
LETSHEGO_IYANAPAJA_BS,LETSHEGO_IYANAPAJA_BS,10.11.120.83,LETSHEGO
LETSHEGO_IYANAPAJA_CL,LETSHEGO_IYANAPAJA_CL,10.11.120.84,LETSHEGO
LETSHEGO_EBUTE,LETSHEGO_EBUTE,212.100.86.161,LETSHEGO
LETSHEGO_HQ,LETSHEGO_HQ,212.100.69.137,LETSHEGO
NPA_HQ_FIBER,NPA_HQ_FIBER,10.30.30.6,NPA
NPA_HQ_RADIO,NPA_HQ_RADIO,10.41.3.46,NPA
NPA_ABUJA_LTE,NPA_ABUJA_LTE,10.42.0.233,NPA
NPA_ONNE_LEO,NPA_ONNE_LEO,10.40.5.89,NPA
NPA_ONNE_2P2_BST,NPA_ONNE_2P2_BST,10.0.254.108,NPA
NPA_ONNE_2P2_CL,NPA_ONNE_2P2_CL,10.0.254.109,NPA
NPA_RIVERS_2P2__DATA_AIRTEL_BST,NPA_RIVERS_2P2__DATA_AIRTEL_BST,10.40.5.82,NPA
NPA_RIVERS_2P2__DATA_AIRTEL_CL,NPA_RIVERS_2P2__DATA_AIRTEL_CL,10.40.5.83,NPA
NPA_RIVERS_2P2__INTER_AIRTEL_BST,NPA_RIVERS_2P2__INTER_AIRTEL_BST,10.40.5.74,NPA
NPA_RIVERS_2P2__INTER_AIRTEL_CL,NPA_RIVERS_2P2__INTER_AIRTEL_CL,10.40.5.75,NPA
NPA_RIVERS_2P2__DATA_MTN_BST,NPA_RIVERS_2P2__DATA_MTN_BST,10.46.6.58,NPA
NPA_RIVERS_2P2__DATA_MTN_CL,NPA_RIVERS_2P2__DATA_MTN_CL,10.46.6.59,NPA
NPA_MEDICAL_LTE,NPA_MEDICAL_LTE,10.27.0.217,NPA
NPA_MEDICAL_LTE_L2,NPA_MEDICAL_LTE_L2,10.40.5.65,NPA
NPA_MEDICAL_P2P_BST,NPA_MEDICAL_P2P_BST,10.42.1.226,NPA
NPA_MEDICAL_P2P_CL,NPA_MEDICAL_P2P_CL,10.42.1.227,NPA
NPA_LAGOS_PORT_LTE,NPA_LAGOS_PORT_LTE,10.42.0.225,NPA
NPA_LAGOS_PORT_LTE_L2,NPA_LAGOS_PORT_LTE_L2,10.30.30.10,NPA
NPA_LAGOS_PORT_P2P_BST,NPA_LAGOS_PORT_P2P_BST,10.42.1.202,NPA
NPA_LAGOS_PORT_P2P_CL,NPA_LAGOS_PORT_P2P_CL,10.42.1.203,NPA
NPA_WESTERN_PORT_LTE,NPA_WESTERN_PORT_LTE,10.30.30.25,NPA
NPA_WESTERN_PORT_LTE_L2,NPA_WESTERN_PORT_LTE_L2,10.42.1.41,NPA
NPA_WESTERN_PORT_P2P_BST,NPA_WESTERN_PORT_P2P_BST,10.42.1.218,NPA
NPA_WESTERN_PORT_P2P_CL,NPA_WESTERN_PORT_P2P_CL,10.42.1.219,NPA
NPA_TINCAN_LTE,NPA_TINCAN_LTE,10.30.30.17,NPA
NPA_TINCAN_LTE_L2,NPA_TINCAN_LTE_L2,10.42.1.17,NPA
NPA_TINCAN_P2P_BST,NPA_TINCAN_P2P_BST,10.42.1.210,NPA
NPA_TINCAN_P2P_CL,NPA_TINCAN_P2P_CL,10.42.1.211,NPA
NPA_IKORODU_LTE,NPA_IKORODU_LTE,10.43.3.233,NPA
NPA_IKORODU_LTE_L2,NPA_IKORODU_LTE_L2,212.100.86.169,NPA
