host_name,alias,ip_address,hostgroup
FCMB_WHARF_ROAD,FCMB_WHARF_ROAD,10.11.120.129,FCMB
FCMB_TRADEFAIR,FCMB_TRADEFAIR,10.11.120.178,FCMB
FCMB_OBOSI,FCMB_OBOSI,10.11.120.179,FCMB
FCMB_TINCAN_CUSTOM,FCMB_TINCAN_CUSTOM,10.13.0.41,FCMB
FCMB_OGBA,FCMB_OGBA,10.13.0.75,FCMB
FCMB_MAIN,FCMB_MAIN,10.13.0.76,FCMB
FCMB_OREGUN_BTS,FCMB_OREGUN_BTS,10.13.0.91,FCMB
FCMB_OREGUN_CL,FCMB_OREGUN_CL,10.13.0.92,FCMB
FCMB_ORILE,FCMB_ORILE,10.13.0.97,FCMB
FCMB_QUATERMALL_IKOTUN,FCMB_QUATERMALL_IKOTUN,10.13.0.113,FCMB
FCMB_OROYINYIN_IDUMOTA_BTS,FCMB_OROYINYIN_IDUMOTA_BTS,10.13.0.172,FCMB
FCMB_OROYINYIN_IDUMOTA_CL,FCMB_OROYINYIN_IDUMOTA_CL,10.13.0.173,FCMB
FCMB_OKOTA_BTS,FCMB_OKOTA_BTS,10.14.1.26,FCMB
FCMB_OKOTA_CL,FCMB_OKOTA_CL,10.14.1.27,FCMB
FCMB_MOTOWAYS_BTS,FCMB_MOTOWAYS_BTS,10.14.5.115,FCMB
FCMB_MOTOWAYS_CL,FCMB_MOTOWAYS_CL,10.14.5.116,FCMB
FCMB_CAMPBELL,FCMB_CAMPBELL,10.15.0.97,FCMB
FCMB_IDUMOTA_BTS,FCMB_IDUMOTA_BTS,10.18.1.59,FCMB
FCMB_IDUMOTA_CL,FCMB_IDUMOTA_CL,10.18.1.60,FCMB
FCMB_OJO_BTS,FCMB_OJO_BTS,10.21.2.117,FCMB
FCMB_OJO_CL,FCMB_OJO_CL,10.21.2.118,FCMB
FCMB_OSOLO_WAY,FCMB_OSOLO_WAY,10.25.0.1,FCMB
FCMB_SANGOTEDO_BTS,FCMB_SANGOTEDO_BTS,10.25.0.18,FCMB
FCMB_SANGOTEDO_CL,FCMB_SANGOTEDO_CL,10.25.0.19,FCMB
FCMB_LADO_AGBADO,FCMB_LADO_AGBADO,10.25.0.49,FCMB
FCMB_COM_VILLAGE,FCMB_COM_VILLAGE,10.25.0.89,FCMB
FCMB_JONAK,FCMB_JONAK,10.25.0.97,FCMB
FCMB_LADO_FILL_STN_IKOTUN,FCMB_LADO_FILL_STN_IKOTUN,10.25.0.137,FCMB
FCMB_SAFEWAY,FCMB_SAFEWAY,10.25.3.241,FCMB
FCMB_FESTAC,FCMB_FESTAC,10.25.4.89,FCMB
FCMB_ASABA,FCMB_ASABA,10.26.0.2,FCMB
FCMB_NNEBISI,FCMB_NNEBISI,10.26.0.3,FCMB
FCMB_BROAD,FCMB_BROAD,10.29.2.202,FCMB
FCMB_STREET,FCMB_STREET,10.29.2.203,FCMB
FCMB_OGUDU,FCMB_OGUDU,10.30.0.49,FCMB
FCMB_ASPANDA,FCMB_ASPANDA,10.30.1.169,FCMB
