host_name,alias,ip_address,hostgroup
ZENITH_LEKKI_EXPRESS_OSAPA,ZENITH_LEKKI_EXPRESS_OSAPA,10.16.6.145,ZenithBank
ZENITH_BANK_OZUNMBA_2,ZENITH_BANK_OZUNMBA_2,10.16.6.172,ZenithBank
ZENITH_BANK_AGUDA_,ZENITH_BANK_AGUDA_,10.18.0.9,ZenithBank
ZENITH_BANKOBA_AKRAN_2,ZENITH_BANKOBA_AKRAN_2,10.18.1.81,ZenithBank
ZENITH_BANK_ST_FINBAR,ZENITH_BANK_ST_FINBAR,10.19.0.1,ZenithBank
ZENITH_BANK_TRINITY_2,ZENITH_BANK_TRINITY_2,10.20.0.4,ZenithBank
ZENITH_BANK_TRINITY_1,ZENITH_BANK_TRINITY_1,10.20.0.9,ZenithBank
ZENITH_BANK_WHAREW_HOUSE_RD_2,ZENITH_BANK_WHAREW_HOUSE_RD_2,10.20.0.26,ZenithBank
ZENITH_BANK_LAWANSON,ZENITH_BANK_LAWANSON,10.20.0.49,ZenithBank
ZENITH_BANK_FLOURMILL_ATM2,ZENITH_BANK_FLOURMILL_ATM2,10.20.0.73,ZenithBank
ZENITH_BANK_CHI_ATM_ISOLO,ZENITH_BANK_CHI_ATM_ISOLO,10.20.0.81,ZenithBank
ZENITH_BANK_LAGOS_CENTRAL,ZENITH_BANK_LAGOS_CENTRAL,10.20.2.2,ZenithBank
ZENITH_BANK_IDUMAGBO,ZENITH_BANK_IDUMAGBO,10.20.2.49,ZenithBank
ZENITH_BANK_CATHOLIC_MISSION,ZENITH_BANK_CATHOLIC_MISSION,10.20.2.57,ZenithBank
ZENITH_BANK_SANUSI,ZENITH_BANK_SANUSI,10.20.2.108,ZenithBank
ZENITH_BANK_BROAD_STREET,ZENITH_BANK_BROAD_STREET,10.20.2.130,ZenithBank
ZENITH_BANK_MOLONEY,ZENITH_BANK_MOLONEY,10.20.2.186,ZenithBank
ZENITH_BANK_KARU,ZENITH_BANK_KARU,10.20.2.193,ZenithBank
